Complete NA Playstation Plus Master List by u/ABattleVet,913,Try restoring licenses to get DLC to unlock,,,Game Pass,,,,,,,,,,
Game,System,Tier,Status,Added,Removed,Months,Release,Age,Metacritic,User,Completion,Genre,Notes / Original System,PC Streaming,Local Multiplayer
Ratchet & Clank: Up Your Arsenal,PS5/PS4,Premium (Streaming Only),Active,Nov 2022,,8.58,Nov 2004,18.04,91,9.0,12,Platformer,PS3,Yes,
Heavenly Bodies,PS5/PS4,Essential,Removed,Nov 2022,Dec 2022,1.12,Dec 2021,0.90,60,9.0,5,Adventure,,No,
Nioh 2: Remastered,PS5/PS4,Essential,Removed,Nov 2022,Dec 2022,1.12,Mar 2020,2.64,85,7.8,45,RPG,PS4 gets the base version,No,
LEGO Harry Potter Collection,PS4,Essential,Removed,Nov 2022,Dec 2022,1.12,Oct 2016,6.04,73,7.7,39,Adventure,,No,
Yakuza 5: Remastered,PS4,Premium (Classics),Active,Oct 2022,,9.50,Feb 2020,2.71,82,7.9,37,RPG,,Yes,
Yakuza 4: Remastered,PS4,Premium (Classics),Active,Oct 2022,,9.50,Oct 2019,3.05,78,7.6,21,RPG,,Yes,
Yakuza 3: Remastered,PS4,Premium (Classics),Active,Oct 2022,,9.50,Aug 2019,3.22,77,7.4,17,RPG,,Yes,
Limbo,PS5/PS4,Premium (Streaming Only),Active,Oct 2022,,9.50,Apr 2021,1.47,90,8.0,4,Platformer,PS3,Yes,
Ultra Street Fighter IV,PS5/PS4,Premium (Streaming Only),Active,Oct 2022,,9.50,Apr 2014,8.51,83,7.6,3,Fighting,PS3,Yes,
Castlevania: Lords of Shadow,PS5/PS4,Premium (Streaming Only),Active,Oct 2022,,9.50,Oct 2010,12.04,85,8.0,18,Adventure,PS3,Yes,
Everyday Shooter,PS5/PS4,Premium (Streaming Only),Active,Oct 2022,,9.50,Mar 2006,16.57,83,7.3,7,Shooter,PS3,Yes,
The Medium,PS5,Extra,Active,Oct 2022,,9.50,Jan 2021,1.72,75,6.7,8,Action,,No,
Grand Theft Auto: Vice City - The Definitive Edition,PS5/PS4,Extra,Removed,Oct 2022,Feb 2023,4.11,Nov 2021,0.93,54,2.4,18,Shooter,,Yes,
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,PS4,Extra,Active,Oct 2022,,9.50,Jul 2017,5.22,91,8.0,58,RPG,,Yes,
Dragon Quest Builders,PS4,Extra,Active,Oct 2022,,9.50,Jan 2016,6.73,83,8.1,39,RPG,,Yes,
Dragon Quest Builders 2,PS4,Extra,Active,Oct 2022,,9.50,Dec 2018,3.83,86,7.6,56,RPG,,Yes,
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,PS4,Extra,Active,Oct 2022,,9.50,Jan 2015,7.73,77,7.6,26,RPG,,Yes,
Dragon Quest Heroes II: Explorer's Edition,PS4,Extra,Active,Oct 2022,,9.50,May 2016,6.40,76,7.6,32,RPG,,Yes,
Hohokum,PS4,Extra,Active,Oct 2022,,9.50,Aug 2014,8.19,75,6.5,4,Adventure,,Yes,
INSIDE,PS4,Extra,Active,Oct 2022,,9.50,Jun 2016,6.31,91,8.5,4,Platformer,,Yes,
Naruto to Boruto: Shinobi Striker,PS4,Extra,Active,Oct 2022,,9.50,Aug 2018,4.14,61,6.0,7,Fighting,,Yes,
Assassin's Creed Chronicles: China,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Apr 2015,7.50,69,6.1,6,Platformer,,Yes,
Assassin's Creed Chronicles: India,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Jan 2016,6.77,63,4.3,6,Platformer,,Yes,
Assassin's Creed Chronicles: Russia,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Feb 2016,6.69,60,4.6,7,Platformer,,Yes,
Assassin's Creed III: Remastered,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Mar 2019,3.56,72,4.8,15,RPG,,Yes,
Assassin's Creed: Odyssey,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Oct 2018,4.05,83,6.5,45,RPG,,Yes,
Assassin's Creed: Syndicate,PS4,Extra (Ubisoft+ Classics),Active,Oct 2022,,9.50,Oct 2015,6.99,76,6.9,19,RPG,,Yes,
Hot Wheels Unleashed,PS5/PS4,Essential,Removed,Oct 2022,Oct 2022,0.89,Sep 2021,1.01,75,7.6,7,Racing,,No,
Injustice 2,PS4,Essential,Removed,Oct 2022,Oct 2022,0.89,May 2017,5.39,87,8.0,6,Fighting,,No,
SUPERHOT,PS4,Essential,Removed,Oct 2022,Oct 2022,0.89,Feb 2016,6.61,83,7.3,3,Shooter,,No,
Assassin's Creed: Origins,PS4,Extra (Ubisoft+ Classics),Active,Sep 2022,,10.42,Oct 2017,4.90,81,7.2,30,RPG,,Yes,
Rayman Legends,PS4,Extra (Ubisoft+ Classics),Active,Sep 2022,,10.42,Aug 2013,9.07,90,8.3,10,Platformer,,Yes,
Scott Pilgrim vs. The World: The Game - Complete Edition,PS4,Extra (Ubisoft+ Classics),Active,Sep 2022,,10.42,Nov 2010,11.87,75,6.4,5,Fighting,,Yes,
Watch Dogs 2,PS4,Extra (Ubisoft+ Classics),Active,Sep 2022,,10.42,Nov 2016,5.85,82,7.7,19,Shooter,,Yes,
Alex Kidd in Miracle World DX,PS5/PS4,Extra,Active,Sep 2022,,10.42,Jun 2021,1.25,60,6.5,3,Platformer,,Yes,
Monster Energy Supercross: The Official Videogame 5,PS5/PS4,Extra,Removed,Sep 2022,Mar 2023,5.95,Mar 2022,0.51,74,4.0,8,Racing,,Yes,
Chicory: A Colorful Tale,PS5/PS4,Extra,Active,Sep 2022,,10.42,Jun 2021,1.28,87,6.8,9,Adventure,,Yes,
Deathloop,PS5,Extra,Active,Sep 2022,,10.42,Sep 2021,1.02,88,6.5,16,Shooter,,No,
Dragon Ball Xenoverse 2,PS4,Extra,Active,Sep 2022,,10.42,Oct 2016,5.91,72,7.5,20,Fighting,,Yes,
Rabbids Invasion: The Interactive TV Show,PS4,Extra,Active,Sep 2022,,10.42,Nov 2014,7.84,53,4.3,10,Adventure,,No,
Spiritfarer: Farewell Edition,PS4,Extra,Active,Sep 2022,,10.42,Aug 2020,2.09,83,7.8,25,Adventure,,Yes,
Syphon Filter 2,PS5/PS4,Premium (Classics),Active,Sep 2022,,10.42,Feb 2000,22.57,,,10,Shooter,PS1,Yes,
Kingdom of Paradise,PS4/PS5,Premium (Classics),Active,Sep 2022,,10.42,Nov 2005,16.86,72,7.5,22,Action,PSP,Yes,
Disney/PIXAR Toy Story 3,PS4/PS5,Premium (Classics),Active,Sep 2022,,10.42,Jun 2010,12.27,78,8.0,5,Platformer,PSP,Yes,
Bentley's Hackpack,PS5/PS4,Premium (Streaming Only),Active,Sep 2022,,10.42,Feb 2013,9.63,,,6,,PS3,Yes,
The Sly Collection,PS5/PS4,Premium (Streaming Only),Active,Sep 2022,,10.42,Nov 2010,11.87,85,8.7,32,Platformer,PS3,Yes,
Sly Cooper: Thieves in Time,PS5/PS4,Premium (Streaming Only),Active,Sep 2022,,10.42,Feb 2013,9.63,75,8.2,13,Platformer,PS3,Yes,
Need for Speed: Heat,PS4,Essential,Removed,Sep 2022,Oct 2022,0.89,Nov 2019,2.83,72,6.1,13,Racing,,No,
Granblue Fantasy: Versus,PS4,Essential,Removed,Sep 2022,Oct 2022,0.89,Mar 2020,2.48,78,6.5,6,Fighting,,No,
Toem,PS5,Essential,Removed,Sep 2022,Oct 2022,0.89,Sep 2021,0.97,80,4.7,3,Adventure,,No,
Bugsnax,PS4,Extra,Active,Aug 2022,,11.57,Nov 2020,1.76,75,7.6,8,Adventure,,Yes,
Dead by Daylight,PS4,Extra,Active,Aug 2022,,11.57,Jun 2016,6.18,64,5.1,398,Action,,Yes,
Metro Exodus,PS4,Extra,Removed,Aug 2022,Feb 2023,6.18,Feb 2019,3.50,83,7.9,15,Shooter,,Yes,
Trials of Mana,PS4,Extra,Active,Aug 2022,,11.57,Apr 2020,2.31,76,7.5,21,RPG,,Yes,
UNO,PS4,Extra (Ubisoft+ Classics),Active,Aug 2022,,11.57,Aug 2016,6.00,71,6.3,5,,,Yes,
Monopoly Madness,PS4,Extra (Ubisoft+ Classics),Active,Aug 2022,,11.57,Dec 2021,0.68,65,,,,,Yes,
Monopoly Plus,PS4,Extra (Ubisoft+ Classics),Active,Aug 2022,,11.57,Dec 2014,7.71,70,4.6,3,,,Yes,
Tom Clancy's Ghost Recon: Wildlands,PS4,Extra (Ubisoft+ Classics),Active,Aug 2022,,11.57,Mar 2017,5.45,70,6.4,27,Shooter,,Yes,
Wheel of Fortune (2017),PS4,Extra,Active,Aug 2022,,11.57,Nov 2017,4.78,80,7.0,1,,,Yes,
Yakuza 0,PS4,Extra,Leaving Soon,Aug 2022,Aug 2023,11.93,Mar 2015,7.47,85,8.6,31,RPG,,Yes,
Yakuza Kiwami,PS4,Extra,Leaving Soon,Aug 2022,Aug 2023,11.93,Jan 2016,6.63,80,7.9,18,RPG,,Yes,
Yakuza Kiwami 2,PS4,Extra,Leaving Soon,Aug 2022,Aug 2023,11.93,Dec 2017,4.71,85,8.4,19,RPG,,Yes,
Little Nightmares,PS4,Essential,Removed,Aug 2022,Sep 2022,1.12,Apr 2017,5.27,78,8.1,4,Puzzle,,No,
Tony Hawk's Pro Skater 1 + 2,PS5/PS4,Essential,Removed,Aug 2022,Sep 2022,1.12,Sep 2020,1.91,89,8.7,7,Sports,,No,
Yakuza: Like A Dragon,PS5/PS4,Essential,Removed,Aug 2022,Sep 2022,1.12,Jan 2020,2.55,85,8.2,45,RPG,,No,
Stray,PS5/PS4,Extra,Removed,Jul 2022,Jul 2023,11.93,Jul 2022,0.00,84,8.7,5,Adventure,,Yes,
Final Fantasy VII: Remake Intergrade,PS5/PS4,Extra,Active,Jul 2022,,12.49,Jun 2021,1.11,89,,33,RPG,PS4 gets the base version,Yes,
Assassin's Creed: The Ezio Collection,PS4,Extra (Ubisoft+ Classics),Active,Jul 2022,,12.49,Nov 2016,5.68,72,,69,RPG,,Yes,
Assassin's Creed IV: Black Flag,PS4,Extra (Ubisoft+ Classics),Active,Jul 2022,,12.49,Oct 2013,8.73,83,8.0,23,RPG,,Yes,
Assassin's Creed: Freedom Cry,PS4,Extra (Ubisoft+ Classics),Active,Jul 2022,,12.49,Dec 2013,8.59,71,,5,RPG,,Yes,
Assassin's Creed: Unity,PS4,Extra (Ubisoft+ Classics),Active,Jul 2022,,12.49,Nov 2014,7.69,70,,17,RPG,,Yes,
Assassin's Creed: Rogue - Remastered,PS4,Extra (Ubisoft+ Classics),Active,Jul 2022,,12.49,Mar 2018,4.33,71,,11,RPG,,Yes,
Marvel's Avengers,PS5/PS4,Extra,Removed,Jul 2022,Jul 2023,11.93,Sep 2020,1.87,67,4.9,12,Action,,Yes,
Saints Row IV: Re-Elected,PS4,Extra,Active,Jul 2022,,12.49,Aug 2013,8.92,75,,15,Action,,Yes,
Saints Row: Gat out of Hell,PS4,Extra,Removed,Jul 2022,Jul 2023,11.93,Jan 2015,7.50,64,,5,Action,,Yes,
Spirit of the North: Enhanced Edition,PS5,Extra,Active,Jul 2022,,12.49,Nov 2019,2.72,64,,6,Adventure,,No,
Ice Age: Scrat's Nutty Adventure,PS4,Extra,Active,Jul 2022,,12.49,Oct 2019,2.75,55,,4,Adventure,,Yes,
JUMANJI: The Video Game,PS4,Extra,Active,Jul 2022,,12.49,Nov 2019,2.70,25,1.3,2,Shooter,,Yes,
Paw Patrol: On a Roll!,PS4,Extra,Active,Jul 2022,,12.49,Sep 2018,3.81,60,,5,Adventure,,Yes,
ReadySet Heroes,PS4,Extra,Active,Jul 2022,,12.49,Oct 2019,2.80,57,,-,Action,,Yes,
No Heroes Allowed: No Puzzles Either!,PS5,Premium (Classics),Active,Jul 2022,,12.49,Apr 2010,12.25,71,,6,Puzzle,PSP,No,
LocoRoco Midnight Carnival,PS5,Premium (Classics),Active,Jul 2022,,12.49,Oct 2009,12.73,73,,4,Puzzle,PSP,No,
Crash Bandicoot 4: It's About Time,PS5/PS4,Essential,Removed,Jul 2022,Aug 2022,0.89,Oct 2020,1.76,86,,10,Platformer,,No,
The Dark Pictures Anthology: Man of Medan,PS4,Essential,Removed,Jul 2022,Aug 2022,0.89,Aug 2019,2.85,69,,5,Horror,,No,
Arcadegeddon,PS5/PS4,Essential,Removed,Jul 2022,Aug 2022,0.89,Jul 2022,0.00,74,,6,Shooter,,No,
Super Stardust Portable,PS5/PS4,Premium (Classics),Active,Jun 2022,,13.35,Jun 2007,15.00,69,,3,Shooter,"PSP, PS4 version added 1/24 after PS5 version came 6/23/22",No,
God of War (2018),PS4,Essential,Removed,Jun 2022,Jul 2022,0.89,Apr 2018,4.13,94,,21,RPG,,No,
Naruto to Boruto: Shinobi Strikers,PS4,Essential,Removed,Jun 2022,Jul 2022,0.89,Aug 2018,3.77,61,,6,Action,,No,
Nickelodeon All-Star Brawl,PS5/PS4,Essential,Removed,Jun 2022,Jul 2022,0.89,Oct 2021,0.67,64,,1,Fighting,,No,Yes
Demon's Souls,PS5,Extra,Active,Jun 2022,,13.68,Nov 2020,1.58,92,8.0,24,RPG,,No,
Destruction AllStars,PS5,Extra,Active,Jun 2022,,13.68,Feb 2021,1.36,62,,4,Action,,No,
Foreclosed,PS5,Extra,Active,Jun 2022,,13.68,Aug 2021,0.84,59,,5,Action,,No,
Returnal,PS5,Extra,Active,Jun 2022,,13.68,Apr 2021,1.12,86,7.3,21,Shooter,,No,
Assassin's Creed: Valhalla,PS5/PS4,Extra (Ubisoft+ Classics),Removed,Jun 2022,Dec 2022,6.25,Nov 2020,1.58,85,,60,RPG,,Yes,
Assetto Corsa Competizione,PS5/PS4,Extra,Active,Jun 2022,,13.68,Sep 2018,3.75,69,,12,Racing,,Yes,
Balan Wonderworld,PS5/PS4,Extra,Removed,Jun 2022,May 2023,11.05,Mar 2021,1.22,48,,11,Action,,Yes,
Control: Ultimate Edition,PS5/PS4,Extra,Active,Jun 2022,,13.68,Aug 2020,1.79,85,,13,Action,,Yes,
Cris Tales,PS5/PS4,Extra,Active,Jun 2022,,13.68,Jul 2021,0.90,74,,21,RPG,,Yes,Yes
Death Stranding: Director's Cut,PS5/PS4,Extra,Active,Jun 2022,,13.68,Sep 2021,0.72,82,,33,Adventure,PS4 gets the base version,Yes,
Ghost of Tsushima: Director's Cut,PS5/PS4,Extra,Active,Jun 2022,,13.68,Aug 2021,0.81,85,,25,Adventure,,Yes,
Ghostrunner,PS5/PS4,Extra,Active,Jun 2022,,13.68,Oct 2020,1.63,81,,7,Platformer,,Yes,
Greedfall,PS5/PS4,Extra,Removed,Jun 2022,Nov 2022,5.10,Sep 2019,2.76,74,,24,RPG,,Yes,
Human: Fall Flat,PS5/PS4,Extra,Active,Jun 2022,,13.68,Jul 2016,5.90,68,,6,Platformer,,Yes,Yes
I Am Dead,PS5/PS4,Extra,Active,Jun 2022,,13.68,Oct 2020,1.68,81,,4,Puzzle,,Yes,
Kona,PS5/PS4,Extra,Removed,Jun 2022,May 2023,11.05,Mar 2016,6.26,71,,6,Platformer,,Yes,
Last Stop,PS5/PS4,Extra,Active,Jun 2022,,13.68,Jul 2021,0.89,70,,6,Interactive Story,,Yes,
Lawn Mowing Simulator,PS5/PS4,Extra,Active,Jun 2022,,13.68,Aug 2021,0.84,71,,70,Simulation,,No,
Maneater,PS5/PS4,Extra,Active,Jun 2022,,13.68,May 2020,2.06,73,,8,RPG,,No,
Marvel's Guardians Of The Galaxy,PS5/PS4,Extra,Active,Jun 2022,,13.68,Oct 2021,0.63,82,,18,Action,,Yes,
Marvel's Spider-Man: Game of the Year Edition,PS5/PS4,Extra,Removed,Jun 2022,May 2023,11.05,Aug 2019,2.79,89,,18,Action,,No,
Marvel's Spider-Man: Miles Morales,PS5/PS4,Extra,Active,Jun 2022,,13.68,Nov 2020,1.58,86,,8,Action,,Yes,
Monster Truck Championship,PS5/PS4,Extra,Active,Jun 2022,,13.68,Oct 2020,1.66,70,,9,Racing,,Yes,
Mortal Kombat 11,PS5/PS4,Extra,Active,Jun 2022,,13.68,Apr 2019,3.14,83,,6,Fighting,,Yes,Yes
MXGP 2021,PS5/PS4,Extra,Removed,Jun 2022,Nov 2022,5.10,Nov 2021,0.53,69,,10,Racing,,Yes,Yes
Observer: System Redux,PS5/PS4,Extra,Active,Jun 2022,,13.68,Nov 2020,1.59,81,,7,Horror,,Yes,
RIDE 4,PS5/PS4,Extra,Removed,Jun 2022,Nov 2022,5.10,Oct 2020,1.68,76,,30,Racing,,Yes,
Tennis World Tour 2,PS5/PS4,Extra,Active,Jun 2022,,13.68,May 2018,4.06,59,3.0,10,Sports,,Yes,Yes
The Artful Escape,PS5/PS4,Extra,Active,Jun 2022,,13.68,Sep 2021,0.76,77,,4,Platformer,,Yes,
Tour de France 2021,PS5/PS4,Extra,Removed,Jun 2022,May 2023,11.05,Jun 2021,1.03,59,,-,Sports,,Yes,
Warhammer: Chaosbane - Slayer Edition,PS5/PS4,Extra,Active,Jun 2022,,13.68,May 2019,3.04,68,,10,RPG,,No,Yes
Werewolf: The Apocalypse - Earthblood,PS5/PS4,Extra,Active,Jun 2022,,13.68,Feb 2021,1.35,56,,9,Adventure,,No,
Wreckfest,PS5/PS4,Extra,Active,Jun 2022,,13.68,Jun 2018,4.00,81,,18,Racing,,Yes,
Wytchwood,PS5/PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Dec 2021,0.51,78,,11,Interactive Story,,Yes,
NBA 2K22,PS5/PS4,Extra,Removed,Jun 2022,Aug 2022,2.60,Sep 2021,0.76,76,,177,Sports,,No,Yes
WRC 10: FIA World Rally Championship,PS5/PS4,Extra,Removed,Jun 2022,Aug 2022,2.60,Sep 2021,0.78,74,,11,Racing,,Yes,Yes
Skate,PS4/PSVR,Extra,Active,Jun 2022,,13.68,Aug 2016,5.87,72,,2,Platformer,,Yes,
Chess Ultra,PS4/PSVR,Extra,Active,Jun 2022,,13.68,Jun 2017,5.04,83,,-,Simulation,,Yes,Yes
Concrete Genie: Digital Deluxe Edition,PS4/PSVR,Extra,Active,Jun 2022,,13.68,Oct 2019,2.68,78,,5,Action,,Yes,
Disaster Report 4 Plus: Summer Memories,PS4/PSVR,Extra,Active,Jun 2022,,13.68,Nov 2018,3.56,56,,11,Adventure,,No,
Rez Infinite,PS4/PSVR,Extra,Removed,Jun 2022,Oct 2022,4.57,Oct 2016,5.67,89,,2,Music,,No,
Space Junkies,PS4/PSVR,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Mar 2019,3.22,69,,-,Action,,No,
Star Trek: Bridge Crew,PS4/PSVR,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,May 2017,5.04,76,,24,Simulation,,No,Yes
Tetris Effect: Connected,PS4/PSVR,Extra,Active,Jun 2022,,13.68,Nov 2020,1.59,90,,3,Puzzle,,No,Yes
Transference,PS4/PSVR,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Sep 2018,3.74,71,,2,Adventure,,No,
Eagle Flight,PS4/PSVR,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Oct 2016,5.65,73,,3,Simulation,,No,Yes
Werewolves Within,PS4/PSVR,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Jun 2021,0.99,76,,2,Arcade,,Yes,
11-11 Memories Retold,PS4,Extra,Active,Jun 2022,,13.68,Nov 2018,3.62,78,,5,Interactive Story,,Yes,
2Dark,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,Mar 2017,5.26,63,,8,Horror,,Yes,
8-Bit Armies,PS4,Extra,Leaving Soon,Jun 2022,Aug 2023,14.04,Sep 2018,3.78,69,,8,Strategy,,Yes,
9 Monkeys of Shaolin,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Oct 2020,1.66,74,,4,Fighting,,Yes,Yes
Absolver,PS4,Extra,Active,Jun 2022,,13.68,Aug 2017,4.79,74,5.5,8,Fighting,,Yes,
Abzû,PS4,Extra,Active,Jun 2022,,13.68,Aug 2016,5.87,81,7.7,2,Adventure,,Yes,
Ace of Seafood,PS4,Extra,Active,Jun 2022,,13.68,Apr 2016,6.18,52,,4,Action,,No,Yes
Adr1ft,PS4,Extra,Active,Jun 2022,,13.68,Jul 2016,5.95,56,,5,Adventure,,Yes,
Agatha Christie: The ABC Murders,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Feb 2016,6.37,68,,7,Adventure,,Yes,
Age of Wonders: Planetfall,PS4,Extra,Active,Jun 2022,,13.68,Aug 2019,2.85,82,,57,Strategy,,Yes,Yes
Agents of Mayhem,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Aug 2017,4.83,68,,17,Action,,Yes,
Alienation,PS4,Extra,Active,Jun 2022,,13.68,Apr 2016,6.20,79,,8,Shooter,,Yes,Yes
AO Tennis 2,PS4,Extra,Active,Jun 2022,,13.68,Feb 2020,2.36,70,,20,Sports,,Yes,Yes
Aragami,PS4,Extra,Active,Jun 2022,,13.68,Oct 2016,5.69,74,,7,Action,,Yes,
Ash of Gods: Redemption,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Mar 2018,4.29,62,,23,RPG,,Yes,
Ashen,PS4,Extra,Active,Jun 2022,,13.68,Dec 2018,3.52,81,,16,RPG,,Yes,
Astebreed,PS4,Extra,Active,Jun 2022,,13.68,May 2015,7.12,82,,2,Arcade,,No,
Avicii Invector,PS4,Extra,Active,Jun 2022,,13.68,Dec 2019,2.53,84,,3,Music,,No,Yes
Bad North,PS4,Extra,Active,Jun 2022,,13.68,Aug 2018,3.87,73,,6,Action,,Yes,
Batman: Arkham Knight,PS4,Extra,Active,Jun 2022,,13.68,Jun 2015,6.98,86,,17,Action,,No,
Battle Chasers: Nightwar,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.70,80,,29,RPG,,Yes,
Bee Simulator,PS4,Extra,Active,Jun 2022,,13.68,Nov 2019,2.59,60,,3,Simulation,,Yes,Yes
Black Mirror,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Nov 2017,4.62,58,,6,Horror,,Yes,
Blasphemous,PS4,Extra,Active,Jun 2022,,13.68,Sep 2019,2.76,80,,13,Platformer,,Yes,
Bloodborne,PS4,Extra,Active,Jun 2022,,13.68,Sep 2015,6.79,91,,34,RPG,,Yes,
Bloodstained: Ritual of the Night,PS4,Extra,Active,Jun 2022,,13.68,Jun 2019,2.99,83,8.4,14,RPG,,Yes,
Bomber Crew,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.65,78,,15,Strategy,,Yes,
Bound by Flame,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,May 2014,8.10,56,,13,RPG,,Yes,
Brawlout,PS4,Extra,Active,Jun 2022,,13.68,Aug 2018,3.87,64,,2,Fighting,,Yes,Yes
Brothers: A Tale of Two Sons,PS4,Extra,Active,Jun 2022,,13.68,Aug 2013,8.85,77,,3,Puzzle,,Yes,
Bubsy: The Woolies Strike Back,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.70,39,,2,Adventure,,Yes,
Caladrius Blaze,PS4,Extra,Active,Jun 2022,,13.68,Mar 2016,6.27,68,,1,Arcade,,No,Yes
Call of Cthulhu,PS4,Extra,Active,Jun 2022,,13.68,Oct 2018,3.62,68,,14,RPG,,Yes,
Car Mechanic Simulator,PS4,Extra,Active,Jun 2022,,13.68,Feb 2019,3.33,55,,25,Simulation,,Yes,
Carmageddon: Max Damage,PS4,Extra,Leaving Soon,Jun 2022,Aug 2023,14.04,Jul 2016,5.95,52,,16,Racing,,Yes,
Cartoon Network: Battle Crashers,PS4,Extra,Active,Jun 2022,,13.68,,122.53,29,,5,Arcade,,Yes,Yes
Celeste,PS4,Extra,Active,Jun 2022,,13.68,Jan 2018,4.38,93,,8,Platformer,,Yes,
Chicken Police: Paint it RED!,PS4,Extra,Active,Jun 2022,,13.68,,122.53,82,,10,Puzzle,,Yes,
Child of Light,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,83,,11,RPG,,Yes,Yes
Children of Morta,PS4,Extra,Active,Jun 2022,,13.68,Sep 2019,2.78,83,,15,RPG,,Yes,Yes
Chocobo's Mystery Dungeon EVERY BUDDY!,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,75,,27,Adventure,,Yes,Yes
Chronos: Before the Ashes,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,69,,8,Adventure,,Yes,
Cities: Skylines,PS4,Extra,Active,Jun 2022,,13.68,Mar 2015,7.27,83,,27,Simulation,,Yes,
Clouds & Sheep 2,PS4,Extra,Active,Jun 2022,,13.68,Feb 2017,5.36,66,,6,Simulation,,Yes,Yes
ConnecTank,PS4,Extra,Active,Jun 2022,,13.68,,122.53,83,,5,Action,,No,Yes
Croixleur Sigma,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,Jan 2016,6.45,62,,1,Action,,Yes,Yes
Damascus Gear: Operation Tokyo - HD Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,61,,14,Action,,No,
Dandara: Trials of Fear Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,77,,7,Platformer,,Yes,
Danger Zone,PS4,Extra,Removed,Jun 2022,Mar 2023,9.21,May 2017,5.12,65,,3,Action,,Yes,
Dangerous Golf,PS4,Extra,Active,Jun 2022,,13.68,Jun 2016,6.04,60,,7,Sports,,Yes,Yes
Dark Rose Valkyrie,PS4,Extra,Active,Jun 2022,,13.68,Jun 2017,5.04,59,,34,RPG,,Yes,
Darksiders Genesis,PS4,Extra,Active,Jun 2022,,13.68,Dec 2019,2.52,79,,14,RPG,,Yes,Yes
Darksiders III,PS4,Extra,Active,Jun 2022,,13.68,Nov 2018,3.55,69,,14,RPG,,Yes,
Days Gone,PS4,Extra,Active,Jun 2022,,13.68,Apr 2019,3.20,71,8.4,37,Horror,,Yes,
DCL: The Game,PS4,Extra,Leaving Soon,Jun 2022,Aug 2023,14.04,,122.53,66,,-,Simulation,,Yes,
Dead Cells,PS4,Extra,Active,Jun 2022,,13.68,May 2017,5.10,89,,14,Platformer,,Yes,
Dead or Alive 5: Last Round,PS4,Extra,Active,Jun 2022,,13.68,Feb 2015,7.37,72,,4,Fighting,,Yes,Yes
Death end re;Quest,PS4,Extra,Active,Jun 2022,,13.68,,122.53,71,,25,RPG,,No,
Death end re;Quest2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,71,,17,RPG,,No,
Death Squared,PS4,Extra,Active,Jun 2022,,13.68,Mar 2017,5.25,75,,6,Puzzle,,Yes,Yes
Defense Grid 2,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Sep 2014,7.73,81,,11,Strategy,,Yes,Yes
Deliver Us the Moon,PS4,Extra,Active,Jun 2022,,13.68,Oct 2019,2.68,75,,5,Interactive Story,,No,
Descenders,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Feb 2018,4.34,74,,5,Sports,,Yes,
Desperados III,PS4,Extra,Active,Jun 2022,,13.68,Jun 2020,1.99,86,7.9,27,Strategy,,Yes,
Detroit: Become Human,PS4,Extra,Active,Jun 2022,,13.68,May 2018,4.12,80,,12,Interactive Story,,Yes,
Disgaea 5: Alliance of Vengeance,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.70,82,,41,RPG,,Yes,
DOOM (2016),PS4,Extra,Active,Jun 2022,,13.68,May 2016,6.12,86,,12,Shooter,,Yes,
Dragon Star Varnir,PS4,Extra,Active,Jun 2022,,13.68,,122.53,75,,17,RPG,,No,
Dreamfall Chapters,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,67,,22,Interactive Story,,Yes,
